eid,qid
1,1
1,19
1,37
1,60
1,89
1,112
1,132
1,150
1,198
1,219
1,281
1,318
1,336
1,354
1,372
1,390
1,408
1,426
1,444
1,462
1,480
1,502
1,528
1,549
1,572
2,2
2,20
2,38
2,61
2,90
2,113
2,133
2,151
2,199
2,223
2,291
2,319
2,337
2,355
2,373
2,391
2,409
2,427
2,445
2,463
2,481
2,503
2,529
2,550
2,573
3,3
3,21
3,39
3,62
3,91
3,114
3,134
3,152
3,200
3,227
3,302
3,320
3,338
3,356
3,374
3,392
3,410
3,428
3,446
3,464
3,482
3,504
3,530
3,551
3,574
4,4
4,22
4,40
4,63
4,92
4,115
4,135
4,154
4,201
4,241
4,303
4,321
4,339
4,357
4,375
4,393
4,411
4,429
4,447
4,465
4,483
4,505
4,531
4,553
4,575
5,5
5,23
5,41
5,72
5,93
5,116
5,136
5,155
5,202
5,248
5,304
5,322
5,340
5,358
5,376
5,394
5,412
5,430
5,448
5,466
5,484
5,506
5,532
5,554
5,577
6,6
6,24
6,42
6,73
6,95
6,117
6,137
6,157
6,203
6,249
6,305
6,323
6,341
6,359
6,377
6,395
6,413
6,431
6,449
6,467
6,485
6,507
6,533
6,556
6,582
7,7
7,25
7,43
7,74
7,96
7,118
7,138
7,158
7,204
7,250
7,306
7,324
7,342
7,360
7,378
7,396
7,414
7,432
7,450
7,468
7,486
7,508
7,534
7,559
7,583
8,8
8,26
8,44
8,75
8,97
8,120
8,139
8,159
8,205
8,251
8,307
8,325
8,343
8,361
8,379
8,397
8,415
8,433
8,451
8,469
8,487
8,509
8,535
8,560
8,584
9,9
9,27
9,45
9,79
9,98
9,122
9,140
9,162
9,206
9,261
9,308
9,326
9,344
9,362
9,380
9,398
9,416
9,434
9,452
9,470
9,490
9,510
9,536
9,561
9,585
10,10
10,28
10,46
10,80
10,99
10,123
10,141
10,163
10,207
10,262
10,309
10,327
10,345
10,363
10,381
10,399
10,417
10,435
10,453
10,471
10,492
10,511
10,538
10,562
10,587
11,11
11,29
11,47
11,81
11,100
11,124
11,142
11,164
11,208
11,263
11,310
11,328
11,346
11,364
11,382
11,400
11,418
11,436
11,454
11,472
11,494
11,512
11,539
11,563
11,588
12,12
12,30
12,48
12,82
12,103
12,125
12,143
12,165
12,209
12,265
12,311
12,329
12,347
12,365
12,383
12,401
12,419
12,437
12,455
12,473
12,495
12,513
12,540
12,565
12,589
13,13
13,31
13,49
13,83
13,104
13,126
13,144
13,166
13,210
13,266
13,312
13,330
13,348
13,366
13,384
13,402
13,420
13,438
13,456
13,474
13,496
13,514
13,542
13,566
13,591
14,14
14,32
14,50
14,84
14,105
14,127
14,145
14,193
14,211
14,267
14,313
14,331
14,349
14,367
14,385
14,403
14,421
14,439
14,457
14,475
14,497
14,517
14,543
14,567
14,592
15,15
15,33
15,51
15,85
15,106
15,128
15,146
15,194
15,212
15,268
15,314
15,332
15,350
15,368
15,386
15,404
15,422
15,440
15,458
15,476
15,498
15,520
15,544
15,568
15,593
16,16
16,34
16,52
16,86
16,109
16,129
16,147
16,195
16,213
16,269
16,315
16,333
16,351
16,369
16,387
16,405
16,423
16,441
16,459
16,477
16,499
16,525
16,545
16,569
16,594
17,17
17,35
17,53
17,87
17,110
17,130
17,148
17,196
17,214
17,270
17,316
17,334
17,352
17,370
17,388
17,406
17,424
17,442
17,460
17,478
17,500
17,526
17,547
17,570
17,596
18,18
18,36
18,59
18,88
18,111
18,131
18,149
18,197
18,218
18,272
18,317
18,335
18,353
18,371
18,389
18,407
18,425
18,443
18,461
18,479
18,501
18,527
18,548
18,571
18,600
