eid,qid
1,1
1,21
1,41
1,61
1,81
1,102
1,118
1,137
1,161
1,193
1,228
1,247
1,266
1,287
1,308
1,328
1,348
1,368
1,388
1,408
1,428
1,448
1,468
1,487
1,507
1,523
1,543
1,563
1,583
1,599
2,2
2,22
2,42
2,62
2,82
2,101
2,122
2,138
2,162
2,210
2,229
2,249
2,267
2,288
2,309
2,329
2,349
2,369
2,389
2,409
2,429
2,449
2,469
2,488
2,508
2,524
2,544
2,564
2,584
2,600
3,3
3,23
3,43
3,63
3,83
3,103
3,123
3,139
3,163
3,195
3,230
3,248
3,270
3,289
3,310
3,330
3,350
3,370
3,390
3,410
3,430
3,450
3,470
3,489
3,509
3,525
3,545
3,559
3,565
3,585
4,4
4,24
4,44
4,64
4,84
4,104
4,124
4,140
4,164
4,196
4,231
4,250
4,271
4,290
4,311
4,331
4,351
4,371
4,391
4,411
4,431
4,451
4,471
4,490
4,510
4,526
4,546
4,560
4,566
4,586
5,5
5,25
5,45
5,65
5,85
5,105
5,125
5,141
5,165
5,211
5,232
5,251
5,272
5,291
5,312
5,332
5,352
5,372
5,392
5,412
5,432
5,452
5,472
5,491
5,511
5,527
5,547
5,561
5,567
5,587
6,6
6,26
6,46
6,66
6,86
6,106
6,126
6,143
6,198
6,233
6,252
6,269
6,273
6,292
6,313
6,333
6,353
6,373
6,393
6,413
6,433
6,453
6,473
6,492
6,528
6,548
6,562
6,568
6,579
6,588
7,7
7,29
7,47
7,67
7,87
7,107
7,127
7,142
7,199
7,215
7,234
7,253
7,274
7,293
7,314
7,334
7,354
7,374
7,394
7,414
7,434
7,454
7,474
7,493
7,503
7,529
7,549
7,569
7,580
7,589
8,8
8,28
8,48
8,68
8,88
8,108
8,128
8,144
8,200
8,216
8,235
8,254
8,275
8,294
8,315
8,335
8,355
8,375
8,395
8,415
8,435
8,455
8,475
8,494
8,504
8,530
8,550
8,570
8,581
8,590
9,9
9,27
9,49
9,69
9,89
9,110
9,129
9,145
9,160
9,201
9,217
9,236
9,255
9,276
9,295
9,316
9,336
9,356
9,376
9,396
9,416
9,436
9,456
9,476
9,495
9,505
9,531
9,551
9,571
9,591
10,10
10,30
10,50
10,70
10,90
10,109
10,130
10,146
10,202
10,218
10,237
10,256
10,277
10,296
10,317
10,337
10,357
10,377
10,397
10,417
10,437
10,457
10,477
10,496
10,512
10,532
10,535
10,552
10,572
10,592
11,11
11,32
11,51
11,71
11,91
11,111
11,131
11,147
11,203
11,219
11,238
11,257
11,278
11,297
11,318
11,338
11,358
11,378
11,398
11,418
11,438
11,458
11,478
11,497
11,513
11,533
11,536
11,553
11,573
11,593
12,12
12,31
12,52
12,72
12,92
12,112
12,132
12,148
12,204
12,220
12,239
12,258
12,279
12,298
12,319
12,339
12,359
12,379
12,399
12,419
12,439
12,459
12,479
12,498
12,514
12,534
12,537
12,554
12,574
12,594
13,13
13,33
13,53
13,73
13,93
13,113
13,133
13,149
13,205
13,221
13,240
13,259
13,280
13,299
13,320
13,340
13,360
13,380
13,400
13,420
13,440
13,460
13,480
13,499
13,515
13,535
13,543
13,555
13,575
13,595
14,14
14,34
14,54
14,74
14,94
14,114
14,134
14,150
14,206
14,222
14,241
14,260
14,281
14,300
14,321
14,341
14,361
14,381
14,401
14,421
14,441
14,461
14,481
14,500
14,516
14,536
14,544
14,556
14,576
14,596
15,15
15,35
15,55
15,75
15,95
15,115
15,135
15,151
15,207
15,223
15,242
15,261
15,282
15,301
15,322
15,342
15,362
15,382
15,402
15,422
15,442
15,462
15,482
15,501
15,517
15,537
15,545
15,557
15,577
15,597
16,16
16,36
16,56
16,76
16,96
16,99
16,136
16,152
16,208
16,224
16,243
16,262
16,283
16,302
16,323
16,343
16,363
16,383
16,403
16,423
16,443
16,463
16,483
16,502
16,518
16,538
16,558
16,578
16,586
16,598
17,1
17,17
17,37
17,57
17,77
17,97
17,117
17,153
17,157
17,209
17,225
17,244
17,263
17,284
17,303
17,324
17,344
17,364
17,384
17,404
17,424
17,444
17,464
17,484
17,503
17,519
17,539
17,559
17,579
17,587
18,2
18,18
18,38
18,58
18,78
18,98
18,121
18,154
18,158
18,194
18,226
18,245
18,264
18,285
18,305
18,325
18,345
18,365
18,385
18,405
18,425
18,445
18,465
18,485
18,504
18,520
18,540
18,560
18,580
18,588
19,3
19,19
19,39
19,59
19,79
19,116
19,119
19,155
19,159
19,197
19,227
19,246
19,265
19,286
19,306
19,326
19,346
19,366
19,386
19,406
19,426
19,446
19,466
19,486
19,505
19,521
19,541
19,561
19,581
19,589
20,4
20,20
20,40
20,60
20,80
20,100
20,120
20,156
20,166
20,212
20,213
20,214
20,268
20,304
20,307
20,327
20,347
20,367
20,387
20,407
20,427
20,447
20,467
20,487
20,506
20,510
20,522
20,542
20,562
20,582
