eid,qid
1,1
1,18
1,31
1,46
1,61
1,76
1,91
1,106
1,121
1,136
1,151
1,166
1,181
1,196
1,211
1,226
1,241
1,256
1,271
1,286
1,301
1,316
1,331
1,346
1,361
1,376
1,391
1,406
1,421
1,436
1,451
1,466
1,481
1,496
1,511
1,526
1,541
1,556
1,571
1,586
2,2
2,17
2,32
2,47
2,62
2,77
2,92
2,107
2,122
2,137
2,152
2,167
2,182
2,197
2,212
2,227
2,242
2,257
2,272
2,287
2,302
2,317
2,332
2,347
2,362
2,377
2,392
2,407
2,422
2,437
2,452
2,467
2,482
2,497
2,512
2,527
2,542
2,557
2,572
2,587
3,3
3,16
3,33
3,48
3,63
3,78
3,93
3,108
3,123
3,138
3,153
3,168
3,183
3,198
3,213
3,228
3,243
3,258
3,273
3,288
3,303
3,318
3,333
3,348
3,363
3,378
3,393
3,408
3,423
3,438
3,453
3,468
3,483
3,498
3,513
3,528
3,543
3,558
3,573
3,588
4,4
4,19
4,34
4,49
4,64
4,79
4,94
4,109
4,124
4,139
4,154
4,169
4,184
4,207
4,220
4,229
4,244
4,259
4,274
4,289
4,304
4,319
4,334
4,349
4,364
4,379
4,394
4,409
4,424
4,439
4,454
4,469
4,484
4,499
4,514
4,529
4,544
4,559
4,574
4,589
5,5
5,20
5,35
5,57
5,65
5,80
5,95
5,110
5,125
5,140
5,155
5,170
5,185
5,200
5,215
5,230
5,254
5,260
5,275
5,290
5,305
5,320
5,335
5,350
5,365
5,380
5,395
5,410
5,425
5,440
5,455
5,470
5,485
5,500
5,515
5,530
5,545
5,560
5,575
5,590
6,6
6,21
6,36
6,58
6,66
6,81
6,96
6,111
6,126
6,141
6,156
6,171
6,186
6,201
6,216
6,231
6,246
6,261
6,276
6,291
6,306
6,321
6,336
6,351
6,366
6,381
6,396
6,411
6,426
6,441
6,456
6,471
6,486
6,501
6,516
6,531
6,546
6,561
6,576
6,591
7,7
7,22
7,37
7,59
7,67
7,82
7,97
7,112
7,127
7,142
7,157
7,172
7,187
7,202
7,217
7,232
7,247
7,262
7,277
7,292
7,307
7,322
7,337
7,352
7,367
7,382
7,397
7,412
7,427
7,442
7,457
7,472
7,487
7,502
7,517
7,532
7,547
7,562
7,577
7,592
8,8
8,23
8,38
8,53
8,68
8,83
8,98
8,113
8,128
8,143
8,158
8,173
8,188
8,203
8,218
8,233
8,248
8,263
8,278
8,293
8,308
8,323
8,338
8,353
8,368
8,383
8,398
8,413
8,428
8,443
8,458
8,473
8,488
8,503
8,518
8,533
8,548
8,563
8,578
8,593
9,9
9,24
9,39
9,54
9,69
9,84
9,99
9,114
9,129
9,144
9,159
9,174
9,189
9,204
9,219
9,234
9,249
9,264
9,279
9,294
9,309
9,324
9,339
9,354
9,369
9,384
9,399
9,414
9,429
9,444
9,459
9,474
9,489
9,504
9,519
9,534
9,549
9,564
9,579
9,594
10,10
10,25
10,40
10,55
10,70
10,85
10,100
10,115
10,130
10,145
10,160
10,175
10,190
10,205
10,214
10,235
10,250
10,265
10,280
10,295
10,310
10,325
10,340
10,355
10,370
10,385
10,400
10,415
10,430
10,445
10,460
10,475
10,490
10,505
10,520
10,535
10,550
10,565
10,580
10,595
11,11
11,26
11,41
11,56
11,71
11,86
11,101
11,116
11,131
11,146
11,161
11,176
11,191
11,206
11,221
11,236
11,251
11,266
11,281
11,296
11,311
11,326
11,341
11,356
11,371
11,386
11,401
11,416
11,431
11,446
11,461
11,476
11,491
11,506
11,521
11,536
11,551
11,566
11,581
11,596
12,12
12,27
12,42
12,50
12,72
12,87
12,102
12,117
12,132
12,147
12,162
12,177
12,192
12,199
12,222
12,237
12,252
12,267
12,282
12,297
12,312
12,327
12,342
12,357
12,372
12,387
12,402
12,417
12,432
12,447
12,462
12,477
12,492
12,507
12,522
12,537
12,552
12,567
12,582
12,597
13,13
13,28
13,43
13,51
13,73
13,88
13,103
13,118
13,133
13,148
13,163
13,178
13,193
13,208
13,223
13,238
13,253
13,268
13,283
13,298
13,313
13,328
13,343
13,358
13,373
13,388
13,403
13,418
13,433
13,448
13,463
13,478
13,493
13,508
13,523
13,538
13,553
13,568
13,583
13,598
14,14
14,29
14,44
14,52
14,74
14,89
14,104
14,119
14,134
14,149
14,164
14,179
14,194
14,209
14,224
14,239
14,245
14,269
14,284
14,299
14,314
14,329
14,344
14,359
14,374
14,389
14,404
14,419
14,434
14,449
14,464
14,479
14,494
14,509
14,524
14,539
14,554
14,569
14,584
14,599
15,15
15,30
15,45
15,60
15,75
15,90
15,105
15,120
15,135
15,150
15,165
15,180
15,195
15,210
15,225
15,240
15,255
15,270
15,285
15,300
15,315
15,330
15,345
15,360
15,375
15,390
15,405
15,420
15,435
15,450
15,465
15,480
15,495
15,510
15,525
15,540
15,555
15,570
15,585
15,600
