eid,qid
1,1
1,15
1,29
1,43
1,57
1,71
1,85
1,99
1,113
1,127
1,141
1,155
1,169
1,183
1,197
1,211
1,225
1,239
1,253
1,267
1,281
1,295
1,309
1,323
1,337
1,351
1,365
1,379
1,393
1,407
1,421
1,435
1,449
1,463
1,477
1,491
1,505
1,519
1,527
1,529
1,533
1,547
1,561
1,575
1,589
2,2
2,17
2,30
2,44
2,58
2,72
2,86
2,100
2,114
2,128
2,147
2,156
2,170
2,184
2,198
2,212
2,226
2,240
2,254
2,268
2,282
2,296
2,310
2,324
2,338
2,352
2,366
2,380
2,394
2,408
2,422
2,436
2,450
2,464
2,478
2,492
2,506
2,520
2,528
2,530
2,534
2,548
2,562
2,576
2,590
3,3
3,16
3,31
3,45
3,59
3,73
3,87
3,101
3,115
3,129
3,143
3,157
3,171
3,185
3,199
3,213
3,227
3,241
3,255
3,269
3,283
3,297
3,311
3,325
3,339
3,353
3,367
3,381
3,395
3,409
3,423
3,437
3,451
3,465
3,479
3,493
3,500
3,507
3,521
3,531
3,535
3,549
3,563
3,577
3,591
4,4
4,18
4,32
4,46
4,60
4,74
4,88
4,102
4,116
4,130
4,144
4,158
4,172
4,186
4,200
4,214
4,228
4,242
4,256
4,270
4,284
4,298
4,312
4,326
4,340
4,354
4,368
4,382
4,396
4,410
4,424
4,438
4,452
4,466
4,480
4,494
4,501
4,508
4,522
4,532
4,536
4,550
4,564
4,578
4,592
5,5
5,19
5,33
5,47
5,61
5,75
5,89
5,103
5,117
5,131
5,145
5,159
5,173
5,187
5,201
5,215
5,229
5,243
5,257
5,271
5,285
5,299
5,313
5,327
5,341
5,355
5,369
5,383
5,397
5,411
5,425
5,439
5,453
5,467
5,481
5,495
5,502
5,509
5,523
5,533
5,537
5,551
5,565
5,579
5,593
6,6
6,20
6,34
6,48
6,62
6,76
6,90
6,104
6,118
6,132
6,146
6,160
6,174
6,188
6,202
6,216
6,230
6,244
6,258
6,272
6,286
6,300
6,314
6,328
6,342
6,356
6,370
6,384
6,398
6,412
6,426
6,440
6,454
6,468
6,482
6,496
6,503
6,510
6,524
6,534
6,538
6,552
6,566
6,580
6,594
7,7
7,21
7,35
7,55
7,63
7,77
7,97
7,105
7,119
7,133
7,142
7,161
7,175
7,189
7,203
7,217
7,236
7,245
7,259
7,273
7,287
7,301
7,315
7,329
7,343
7,357
7,371
7,385
7,399
7,413
7,427
7,441
7,455
7,469
7,483
7,497
7,505
7,511
7,525
7,535
7,539
7,553
7,567
7,581
7,595
8,8
8,22
8,36
8,50
8,64
8,78
8,92
8,106
8,120
8,134
8,148
8,162
8,176
8,190
8,204
8,218
8,232
8,246
8,260
8,274
8,288
8,302
8,316
8,330
8,344
8,358
8,372
8,386
8,400
8,414
8,428
8,442
8,456
8,470
8,484
8,498
8,506
8,512
8,526
8,536
8,540
8,554
8,568
8,582
8,596
9,9
9,23
9,37
9,51
9,65
9,79
9,93
9,107
9,121
9,135
9,149
9,163
9,177
9,191
9,205
9,219
9,233
9,247
9,261
9,275
9,289
9,303
9,317
9,331
9,345
9,359
9,373
9,387
9,401
9,415
9,429
9,443
9,457
9,471
9,485
9,499
9,507
9,513
9,527
9,537
9,541
9,555
9,569
9,583
9,597
10,10
10,24
10,38
10,52
10,66
10,80
10,94
10,108
10,122
10,136
10,150
10,164
10,178
10,192
10,206
10,220
10,234
10,248
10,262
10,276
10,290
10,304
10,318
10,332
10,346
10,360
10,374
10,388
10,402
10,416
10,430
10,444
10,458
10,472
10,486
10,500
10,514
10,528
10,538
10,542
10,556
10,561
10,570
10,584
10,598
11,11
11,25
11,39
11,53
11,67
11,81
11,95
11,109
11,123
11,137
11,151
11,165
11,179
11,193
11,207
11,221
11,235
11,249
11,263
11,277
11,291
11,305
11,319
11,333
11,347
11,361
11,375
11,389
11,403
11,417
11,431
11,445
11,459
11,473
11,487
11,501
11,515
11,529
11,539
11,543
11,557
11,562
11,571
11,585
11,599
12,12
12,26
12,40
12,54
12,68
12,82
12,96
12,112
12,124
12,138
12,152
12,166
12,180
12,194
12,208
12,222
12,231
12,250
12,264
12,278
12,292
12,306
12,320
12,334
12,348
12,362
12,376
12,390
12,404
12,418
12,432
12,446
12,460
12,474
12,488
12,502
12,516
12,530
12,540
12,544
12,558
12,563
12,572
12,586
12,600
13,13
13,27
13,41
13,49
13,69
13,83
13,91
13,111
13,125
13,139
13,153
13,167
13,181
13,195
13,209
13,223
13,237
13,251
13,265
13,279
13,293
13,307
13,321
13,335
13,349
13,363
13,377
13,391
13,405
13,419
13,433
13,447
13,461
13,475
13,489
13,503
13,517
13,531
13,541
13,545
13,559
13,564
13,573
13,587
13,589
14,14
14,28
14,42
14,56
14,70
14,84
14,98
14,110
14,126
14,140
14,154
14,168
14,182
14,196
14,210
14,224
14,238
14,252
14,266
14,280
14,294
14,308
14,322
14,336
14,350
14,364
14,378
14,392
14,406
14,420
14,434
14,448
14,462
14,476
14,490
14,504
14,518
14,532
14,542
14,546
14,560
14,565
14,574
14,588
14,590
