id,name,detail,img
W.201a,Chỗ ngoặt nguy hiểm bên trái,Biển báo đường sắp đến chỗ ngoặt nguy hiểm.,W201a
W.201b,Chỗ ngoặt nguy hiểm bên phải,Biển báo đường sắp đến chỗ ngoặt nguy hiểm.,W201b
W.201c,Chỗ ngoặt nguy hiểm có nguy cơ lật bên phải,Biển số W.201c chỗ ngoặt nguy hiểm có nguy cơ lật xe bên phải khi đường cong vòng sang trái.,W201c
W.201d,Chỗ ngoặt nguy hiểm có nguy cơ lật bên trái,Biển số W.201d chỗ ngoặt nguy hiểm có nguy cơ lật xe bên trái khi đường cong vòng bên phải.,W201d
W.202a,Nhiều chỗ ngoặt nguy hiểm liên tiếp,"Biển báo sắp đến đoạn đường ngoặt liên tiếp (có từ 3 đoạn cong ngược chiều nhau) rất nguy hiểm, người lái xe cần giảm tốc độ.",W202a
W.202b,Nhiều chỗ ngoặt nguy hiểm liên tiếp,"Biển báo sắp đến đoạn đường ngoặt liên tiếp (có từ 3 đoạn cong ngược chiều nhau) rất nguy hiểm, người lái xe cần giảm tốc độ.",W202b
W.203a,Đường bị hẹp cả hai bên,Biển báo sắp đến chỗ một đoạn đường bị hẹp đột ngột.,W203a
W.203b,Đường bị hẹp bên trái,Biển báo sắp đến chỗ một đoạn đường bị hẹp đột ngột.,W203b
W.203c,Đường bị hẹp bên phải,Biển báo sắp đến chỗ một đoạn đường bị hẹp đột ngột.,W203c
W.204,Đường hai chiều,"Biển báo hiệu sắp đến đoạn đường chỉ có một làn đường mà tạm thời (đường do sửa chữa hoặc có trở ngại ở một phía đường mà phải tổ chức đi lại cho phương tiện cả hai chiều trên phía đường còn lại) hay thường xuyên các chiều xe đi và về vẫn phải dùng chung. Khi qua đoạn đường này, lái xe cần thận trọng với xe phía chiều ngược lại.",W204
W.205a,Nơi giao nhau của đường đồng cấp,Biển báo hiệu sắp đến nơi giao nhau của các tuyến đường cùng cấp (không có đường nào ưu tiên) trên cùng một mặt bằng.,W205a
W.205b,Nơi giao nhau của đường đồng cấp,Biển báo hiệu sắp đến nơi giao nhau của các tuyến đường cùng cấp (không có đường nào ưu tiên) trên cùng một mặt bằng.,W205b
